# BEGIN DATA
Process=pp -> en~j
Proc=enj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2017-10-16 14:02:08
# END DATA

# BEGIN HISTO1D enj_pTV_LO
# xlow   xhigh   val   errminus  errplus
1.100000e+03 1.200000e+03 1.720758e+00 3.413854e-03 3.413854e-03
1.200000e+03 1.300000e+03 1.745939e+00 2.986487e-03 2.986487e-03
1.300000e+03 1.400000e+03 1.749355e+00 3.885537e-03 3.885537e-03
1.400000e+03 1.600000e+03 1.775204e+00 4.274308e-03 4.274308e-03
1.600000e+03 1.800000e+03 1.812296e+00 5.273794e-03 5.273794e-03
1.800000e+03 2.000000e+03 1.819826e+00 6.158669e-03 6.158669e-03
2.000000e+03 2.200000e+03 1.872018e+00 4.342773e-03 4.342773e-03
2.200000e+03 2.400000e+03 1.899646e+00 5.404965e-03 5.404965e-03
2.400000e+03 2.600000e+03 1.942861e+00 5.858059e-03 5.858059e-03
2.600000e+03 2.800000e+03 1.980526e+00 6.668614e-03 6.668614e-03
2.800000e+03 3.000000e+03 2.002985e+00 7.575222e-03 7.575222e-03
3.000000e+03 6.500000e+03 2.057694e+00 7.251968e-03 7.251968e-03
# END HISTO1D

# BEGIN HISTO1D enj_pTV_NNLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 4.978983e+01 2.050010e-01 2.050010e-01
4.000000e+01 5.000000e+01 2.900671e+01 1.011906e-01 1.011906e-01
5.000000e+01 6.000000e+01 1.782559e+01 6.963282e-02 6.963282e-02
6.000000e+01 7.000000e+01 1.146906e+01 5.098977e-02 5.098977e-02
7.000000e+01 8.000000e+01 7.548082e+00 3.654499e-02 3.654499e-02
8.000000e+01 9.000000e+01 5.078542e+00 1.714276e-02 1.714276e-02
9.000000e+01 1.000000e+02 3.506587e+00 1.184329e-02 1.184329e-02
1.000000e+02 1.100000e+02 2.466856e+00 8.600552e-03 8.600552e-03
1.100000e+02 1.200000e+02 1.769606e+00 6.414484e-03 6.414484e-03
1.200000e+02 1.300000e+02 1.277119e+00 4.913239e-03 4.913239e-03
1.300000e+02 1.400000e+02 9.445868e-01 3.772741e-03 3.772741e-03
1.400000e+02 1.500000e+02 7.076247e-01 2.844087e-03 2.844087e-03
1.500000e+02 2.000000e+02 3.390955e-01 1.155773e-03 1.155773e-03
2.000000e+02 2.500000e+02 1.047883e-01 3.607393e-04 3.607393e-04
2.500000e+02 3.000000e+02 3.904003e-02 1.737330e-04 1.737330e-04
3.000000e+02 3.500000e+02 1.637129e-02 5.284866e-05 5.284866e-05
3.500000e+02 4.000000e+02 7.645874e-03 2.774380e-05 2.774380e-05
4.000000e+02 4.500000e+02 3.820630e-03 1.571830e-05 1.571830e-05
4.500000e+02 5.000000e+02 2.018868e-03 9.532509e-06 9.532509e-06
5.000000e+02 5.500000e+02 1.131415e-03 2.738203e-06 2.738203e-06
5.500000e+02 6.000000e+02 6.549797e-04 1.786754e-06 1.786754e-06
6.000000e+02 6.500000e+02 3.946120e-04 6.809204e-07 6.809204e-07
6.500000e+02 7.000000e+02 2.448846e-04 4.303321e-07 4.303321e-07
7.000000e+02 7.500000e+02 1.551511e-04 2.625981e-07 2.625981e-07
7.500000e+02 8.000000e+02 1.003514e-04 1.970259e-07 1.970259e-07
8.000000e+02 8.500000e+02 6.651132e-05 1.497754e-07 1.497754e-07
8.500000e+02 9.000000e+02 4.464167e-05 1.181130e-07 1.181130e-07
9.000000e+02 9.500000e+02 3.043765e-05 8.840113e-08 8.840113e-08
9.500000e+02 1.000000e+03 2.085772e-05 6.592132e-08 6.592132e-08
1.000000e+03 1.100000e+03 1.251862e-05 2.132680e-08 2.132680e-08
