DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, mujets, down_correlated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0439968297828"
0, mujets, down_correlated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0187606592794"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0189616713284"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0130879885679"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0404484645928"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.05373775312"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0258029162352"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0197981556873"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0314998140937"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.104475534071"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0144338487421"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.00758466828338"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0052351955037"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0161793865578"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0214951016063"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0103211662183"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.00791926228546"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0125999261241"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0417902151597"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.00577353957125"
0, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))+0.06751975417137146"
0, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))+0.049072399735450745"
0, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))+0.045010451227426529"
0, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))+0.050811700522899628"
